City,Facility,County
Abilene,Alzheimer's Association,Taylor
Amarillo,Ware Living Center,Potter
Amarillo,The Cottages At Quail Creek,Potter
Arlington,Arden Courts Alzheimer's Assisted Living,Tarrant
Arlington,Autumn Leaves of Arlington,Tarrant
Arlington,Broadway Plaza at Pecan Park,Tarrant
Austin,Arden Courts Alzheimers Assisted Living,Travis
Austin,The Plaza at Querencia,Travis
Beaumont,Dowlen Oaks Retirement & Assisted Living,Jeffereson
Bedford,Oak Hollow Alzheimer Special Care Center,Tarrant
Carrolton,Autumn Leaves of Carrollton,Denton
Cedar Park,Cedar Ridge Alzheimer's Special Care,Williamson
Columbus,River Oaks Health & Rehabilitation Center,Colorado
Converse,Esplanade Gardens,Bexar
Dallas,Hillcrest House Residential Care For Seniors,Dallas
Dallas,Medallion Senior Living,Dallas
Dallas,Alzheimer's Foundation of America,Dallas
Dallas,Alzheimer's Association Greater Dallas Chapter,Dallas
Dallas,Blanton Gardens,Dallas
Dallas,Walnut Place,Dallas
Dallas,Arbor House of Desoto,Dallas
Dallas,Stone Bridge Alzheimer Special Care Center,Dallas
Denison,House of Ruth,Grayson
El Paso,Alzheimer's Association,El Paso
El Paso,Desert Springs Alzeheimers Special Care Center,El Paso
El Paso,Village Oaks at Cielo Vista,El Paso
Flatonia,Oak Manor Nursing Center,Fayette
Fort Worth,James L West Alzheimer Center,Tarrant
Fort Worth,Autumn Leaves of Fossil Creek,Tarrant
Fort Worth,Fireside Lodge Healthcare Center,Tarrant
Fort Worth,Barton House,Tarrant
Fort Worth,Garden Terrace Alzheimer's Center,Tarrant
Fort Worth,Courtyards at Ft. Worth,Tarrant
Gunter,Hilltop Haven,Grayson
Houston,Park Way Place,Harris
Houston,Memorial Oaks,Harris
Houston,Right At Home,Harris
Houston,Colonial Oaks Assisted Living & Alzhemers Care,Harris
Houston,The Buckingham,Harris
Irving,Ashford Hall Nursing Home,Dallas
Katy,Colonial Oaks Assisted Living & Alzheimers Care,Harris
Laredo,-- Laredo Elderly Service,Webb
League City,The Cottages At Clear Lake,Galveston
Lubbock,Garrison Geriatric Educ. and Care Center,Lubbock
Lubbock,Grace House of Lubbock,Lubbock
Mckinney, -- Provident Living Centers of McKinney,Collin
Mesquite,Courtyard The at Christian Care Center,Dallas
Mission,Bridges at Mission The,Hidalgo
New Braunfels,Alzcare,Comal
North Richland Hills,Clare Bridge of Richland Hills,Tarrant
Plano,-- Edenbrook of Plano,Collin
Plano,Collin Oaks,Collin
Richardson,-- Arden Courts Alzheimer's Assisted Living,Dallas
Round Riock,Cottages Alzheimer Care,Williamson
San Antonio,Barton House,Bexar
San Antonio,Clare Bridge of San Antonio,Bexar
San Antonio,Village Oaks at Hollywood Park,Bexar
San Antonio,Hamilton House,Bexar
San Antonio,Woodbridge Estates,Bexar
Seguin,Guadalupe Valley Nursing Center,Guadalupe
Sugar Land,Barton House,Fort Bend
Texarkana,Alzheimer's Association Greater,Bowie
Texas City,Danforth Gardens,Galveston
Vernon,Vernon Care Center,Wilbarger
Victoria,Alzcare,Victoria
Waco,Meadowlands Terrace,Mclennan
Waxahachie,Lnbalzheimer's Association,Ellis
Whitehouse,Tender Loving Elderly Care,Smith
Wichita Falls,Lakeridge Place,Wichita
Wichita Falls,Texhoma Christian Care Center,Wichita
Wichita Falls,Alzheimer's Diagnostic Clinic,Wichita
